,description,id,rating,title,category
129,"Only one play, but I enjoyed it.  It took a while to learn, but once you do go through everything the turns are really straightforward.  It's weird how all the boards are different and get mixed/matched with each game, so it makes it sort of puzzly in what you get and what you can do each game.  Not sure if it makes a huge difference in the end or not.  I wasn't blown away, but the game was pleasant enough though it was slightly long, maybe that speeds up with more play.  I'm interested in exploring this further.",yqR4PtpO8X,3,Only one p...,territory
131,"Great looking components and well thought out gameplay, but it's not as exciting as other games.",yqR4PtpO8X,4,Great look...,territory
133,"I love that this is a very well thought out strategy game and yet it's easy to learn the rules. I also like the fact that it isn't focused on combat, although you will need to combat other players every now and then. Excellent game, highly recommend it. Even more fun with 5 players.",yqR4PtpO8X,4,I love tha...,territory
136,Weight: 3.36 / 5Includes Board ExtensionIncludes Legendary BoxIncludes Neoprene MatIncludes Metal Coins (base and green 2c/purple 50c)Includes Kickstarter PromosIncludes Extra Promos (Meeplesource)Includes Purple and Green Battle WheelIncludes Encounter Expansion,yqR4PtpO8X,4,Weight: 3....,territory
137,"1-5 players, asymmetrical 4x euro game, heavy weight, 120 minutes.Rating based on 3 solo games and 3 plays with 3 and 4 players. I can perfectly understand the hype, which was primarily based on art work and theme, and as far as I;m concerned the game delivers on its promise. The different factions all have their own unique abilities which make for a different game each play, also combined with the random player board, which calls for a different strategy each play.People looking for a heavy combat game will be dissapointed, as combat is minimal in the game, however the threat of combat is constant, which, in my view, works very well.I've tried a few games against the AI on easy (Autometta) and normal (Automata) level and that's also a nice experience, which allows you experiment a bit with the combinations and strategies. COnsidering to acquire additional Automa packs in orde to play against mutiple AI's. Also might consider buying the expansion, which adds two new factions to the game.",yqR4PtpO8X,4,1-5 player...,territory
140,"I mainly play this solo, and it's a really challenging system.  Really good game mechanics, engine building is so fun, the art is amazing, just an overall really good game.  I imagine the expansions would really shine with a regular gaming group, but find that they don't really work well for solo players.",yqR4PtpO8X,3,I mainly p...,territory
145,1-5,yqR4PtpO8X,4,1-5,territory
147,I've only played it once. It was good. I would play it again. I don't think it is one the greatest games I have ever played though. Good though.,yqR4PtpO8X,3,I've only ...,territory
149,"July 2016. My first real Kickstarter! I was concerned that it wouldn't live up to the hype, but I'm happy to report that it met and exceeded my expectations. This is one of my favorite games right now. I look forward to playing it many more times over the years. July 2016Returned rating to a 10. I've played 6 solo games, which is pushing it back up for me. I don't usually care about solo gaming that much, but with my limited time lately, it's nice to be able to knock out a game in the evening in about 90 minutes including setup and breakdown. August, 2016.I'm still in love with this game. I haven't been able to play for over a month, but still have TWENTY NINE plays so far this year (that's just from late July through late October!). Solo mode has been great. I've also been solo-testing a campaign I've designed, playing 4-player games by myself. I've gotten a ton of use out of this, and I truly regret not going all-in on the Kickstarter. I've ordered the metal coins, and maybe someday I'll get the realistic resources. I love this game so much. December 4, 2016",yqR4PtpO8X,5,July 2016....,territory
156,"Theme and artwork is amazing!  The game is simple to learn and easy to teach others.  It starts slow but ramps up quickly and turns do not take long after the initial rounds.  Only downside is that the game ends rather abruptly.  Right around the time you start making big moves and upgrades, the game ends suddenly.",yqR4PtpO8X,4,Theme and ...,territory
177,"Scythe is great for veteran board game players, but can be too much for more inexperienced players. The game is well designed, but oftentimes is too long. At least one player will realize they have no chance of winning, and will then complain the rest of the game. 

Also, get boxes for all the meeples.",yqR4PtpO8X,4,"Fun, but long",territory
184,"Invaders from Afar & The Wind Gambit.
Beautiful, thematic, and more importantly such a pleasure to play each time. With the varied setup each game it is always different enough to always wonder what each game will turn into.",yqR4PtpO8X,5,Invaders f...,territory
198,Basically everything I want in a short strategy game.,yqR4PtpO8X,5,Basically ...,territory
204,"Only own digital copies.
https://store.steampowered.com/app/718560/Scythe_Digital_Edition/
https://store.steampowered.com/app/446980/Tabletop_Simulator__Scythe/",yqR4PtpO8X,4,Only own d...,territory
206,"Played a friends copy a few times. Pretty good.
I don't think it lives up to the hype surrounding it however. But it is good, and I will play it again, just not something I will suggest every time we get together.",yqR4PtpO8X,3,Played a f...,territory
208,"Excellent game.  Really enjoy it.  I play it a bit more tactically than strategically after less than 10 plays, but expect to ""graduate"" soon as I learn the different capabilities of the factions and player boards.  Looks more daunting than it is.  Rules fairly simple to remember and implement.  Your choices are a delicate balance. To me, it lives up to the hype.",yqR4PtpO8X,4,Excellent ...,territory
209,"Collector's Edition. Awesome game! I played it four times in the first week I owned it which I have never done with a big game before. Even my wife loves it and she doesn't really care for complex games with a lot of rules. This one hits the sweet spot between accessibility and complexity. I certainly wouldn't call it a gateway game but I could definitely see teaching it to and playing it with anyone that could handle games like Catan, Small World and Lords of Waterdeep.

This is my favorite game of 2016 and the best game/value that I have Kickstarted. It's early to call, but this game is almost certainly destined for my top five. This is the example that game publishers should be striving for in terms of components, rulebook, iconography, art, ease of access, replayability, accessibility and value.

Our first three-player game took three hours but our next two with the same players took only an hour and a half each (we played them back-to-back, it's that good). Turns are near simultaneous with three players, so there is very little downtime.

The game is very intuitive and after the first few turns, you know what to do and how most things work. From that point on, it's a matter of learning how to optimize your actions and developing an overall strategy.

There are five asymmetrical factions, each with their own special abilities. There are also five different player mats that have the same abilities but with slightly different costs and benefits. Each game you play, you get a different combination of these. Then you add in different secret objectives, different factory abilities and different end game bonuses for buildings and you get a heck of a lot of replayability.

If I had a complaint (and I don't) it would be that there isn't a whole lot of player interaction during the game. The board is big enough that you can pretty much do your own thing in your own corner of the map without much interference. I am sure in four or five player games there is a lot more interaction as players jostle for resources and space.

Super game! If you like worker placement and area control, you should love this one!

Expansions owned: Invaders from Afar, Wind Gambit",yqR4PtpO8X,5,Collector'...,territory
214,"Early rating is tentative but very promising. It is indeed much less about combat than economy management, which is as the game describes. Whether this serves to mitigate or mask the problems often inherent in multi-player conflict games is yet to be seen.",yqR4PtpO8X,4,Early rati...,territory
224,"This is a tough game.

Tons of mechanics included, tons of thing to remember, not easy to set up (at least 10 minutes if you are alone), hard to explain.

Not a good game to play with a newbie.

But if you know how to play it, it's fantastic. No luck, only strategy, and there are different way to win. 

And you doesn't have any idea who is the winner till the game ends.",yqR4PtpO8X,3,This is a ...,territory
226,"First let's get this out of the way. Scythe is basically an overproduced euro...

And I LOVE IT!! 

This game is all about efficiency and posturing. With the threat of war. It has a very ominous vibe throughout the whole game. 

I think people see mechs and think that this is all about dudes on a map and combat. If you go in with that attitude you will be very disappointed. This game is about building an engine and managing resources. You need to try your best to figure out which 6 stars you will be going for and then go. It might very well be that combat and area control will be a path to your victory or it might be setting up an engine of pumping out tons of resources and avoiding all combat as much as possible.

As far as calling a game a 4x or not. I hate how people can get so riled up over terms. I don't care if it fits into that ""box"" or not. I think the game does an excellent job of giving you the feeling of a 4x game all within a shorter time. (a hour and a half) For me that's why I often prefer to play Scythe over those other games. 

It won't be very often that I could get a group together to play some epic 6+ hour epic game. So I play Scythe instead.",yqR4PtpO8X,4,First let'...,territory
227,Collector's Edition,yqR4PtpO8X,5,Collector'...,territory
230,"[COLOR=#FFFFFF][b][size=12][BGCOLOR=#FF0000]Have Game Want Accessories[/BGCOLOR][/size][/b][/color].  [COLOR=#ffffff][b][size=12][BGCOLOR=#000000]Want 3D Factory[/BGCOLOR][/size][/b][/color]
Want the Neoprene Mat           &
Rise of Fenris Geek Bit Bags  (have the other faction bags)
https://boardgamegeek.com/boardgameaccessory/266152/scythe-neoprene-playmat
https://boardgamegeekstore.com/collections/bgg-geekup-bag-sets/products/copy-of-geekup-bag-set-scythe",yqR4PtpO8X,5,[COLOR=#FF...,territory
233,This game just doesn't click with me. It's a decent game. It has some unique mechanics. It's interesting enough that I'd play it more but it mostly just feels... unsatisfying.,yqR4PtpO8X,3,This game ...,territory
236,"1-5p
Sleeves
Legendary Box
Automa in base game box",yqR4PtpO8X,5,"1-5p
Sleev...",territory
237,"This was an odd game for me. I found it to be impressively clean and elegant, but not particularly fun or engaging. Not for me I guess.",yqR4PtpO8X,3,This was a...,territory
244,"Kickstarter Project http://kck.st/1hCoAn1
- Backed: 10/13/2015
- Funded: 11/05/2015
- Pledge Level: Pledge $99 or more: ""COLLECTOR'S SCYTHE - 1 board extension (50% bigger hexes), all wooden resource tokens replaced by realistic resource tokens, individually numbered box, 80 custom metal coins, 4 plastic resource containers, 1 copy of Scythe (includes all 25 miniatures), 1 Factory promo pack, all stretch goals, and money-back guarantee ($172 value). Add up to 2 more copies at $99 each.""
- Payment: $99
- Survey: 11/05/2015
- Projected Delivery: 08/2016
- Shipped: 07/01/2016


Status: DELIVERED",yqR4PtpO8X,4,Kickstarte...,territory
267,"I have almost everything Scythe related. I fell in love with this game shortly after it was commercially released and my love for it has not waned years later. It's a perfect mesh of complexity with iconography that once understood (which is easy to do) feels simple! The different factions work your brain in every which way - and you over time you will realize that there is a group of people that believes every single faction is overpowered....which to me means that they are pretty balanced (well...as balanced as asymmetric factions CAN be).

Scythe will always be a collection essential for me.",yqR4PtpO8X,5,My Favorite Game of All Time,territory
269,"Whether with other gamers or against the Automa in solo mode, I am finding Scythe to be incredibly challenging and rewarding. An atypical 4X in that it emphasizes combat (and never eliminates units), it offers a plethora of choices and decisions only get harder (and the right ones more rewarding) as the game goes on. It's already crept from 8.5 to 9 in my estimation and once I give The Wind Gambit a try it could very well climb more.",yqR4PtpO8X,4,Whether wi...,territory
270,"Love this game and the more I play it the more I love it.  It brushes the edges of an RPG with a great little world to play out in.  I still feel it ends to abruptly, but that's probably what makes me keep coming back to it.",yqR4PtpO8X,5,Love this ...,territory
275,"This game feels like Copycat, in that it shamelessly steals mechanics from other good games in an attempt to make one cohesive game, but without the satire. The end result is typical of the designer; a reasonably good game with nothing remarkable or groundbreaking about it except for the amount of chrome applied.",yqR4PtpO8X,3,This game ...,territory
278,Had a blast each time playing this. Plenty of paths to victory and the different combinations of boards give this a lot of replayability.  The only negative in my mind is the encounter cards all feel the same.,yqR4PtpO8X,4,Had a blas...,territory
283,"Scythe was a game I was unsure if I'd be interested in. I'd heard amazing things about it, and thought it seemed interesting enough. Luckily it was purchased for me as a gift, and since then this game has been a huge hit. I was afraid the game wouldn't hit the table much at all but it continuously receives play anywhere from 2 to 3/4 players fairly frequently and a few 5+ player games. Everyone loves the game and we've reached an efficiency level so that 2-3 player games only last 40-45 minutes. While there are plenty of folks who have a number of qualms with the game, most of which I've heard and totally understand, this whole experience just clicks right for me and my group and we absolutely adore it.

Don't be fooled, this isn't a war game with a lot of strategy and combat between mechs. This is a euro game; worker placement, area controller, and resource management all the way. Overall it's an engine optimization puzzle, with other players as potential obstacles or threats to you reaching your max efficiency.",yqR4PtpO8X,5,,territory
286,"So far, Scythe has lived up to the hype. The artwork is beautiful and there's so much to do that you can take a different approach each game and still be competitive.",yqR4PtpO8X,3,"So far, Sc...",territory
289,Immediately engaging and with a presentation that matches form and function to a degree rarely achieved in modern games.,yqR4PtpO8X,4,Immediatel...,territory
291,"fully painted ""table top"" quality",yqR4PtpO8X,5,fully pain...,territory
292,"I enjoyed it, but the lack of interaction is pretty disappointing. I was hoping for something a bit more cutthroat and a bit less point salad.",yqR4PtpO8X,4,I enjoyed ...,territory
293,"Well, I have to say that this game lived up to the hype. I like that there are 25 unique combinations of player powers. The unique miniatures for each country is a nice touch. It incorporate some economic elements, some exploration elements, some war game elements, and some engine building elements. I am realizing that I am a true euro gamer and as such the combat was the least satisfying part of the game for me. I can't wait to explore this more!",yqR4PtpO8X,4,"Well, I ha...",territory
302,boardlandia,yqR4PtpO8X,3,boardlandi...,territory
310,"But not this one. I've played twice. It's my least desired of all the ones I've played. My buddy backed the KS and made sure to get everything deluxed. Beautiful components, but like many of Jamey's designs, it appears he's taken his favorite bits of previous games and stuck them in whatever current one he's designed. I think it worked for Viticulture and Euphoria. I just couldn't get into this one. I'm still figuring out all the hype that was generated on the box cover art alone...",yqR4PtpO8X,1,I'm a big fan of Stonemaier games....,territory
316,"A resource management game with huge variability, individual player powers, various avenues to victory, hard choices that don't take a long time, reasonable play time, amazing artwork and a little optional conflict thrown into the mix. A 10, especially after the addition of The Rise of Fenris

INCLUDED:
Scythe: Invaders from Afar 
Scythe: The Rise of Fenris
Scythe: Metal Coins
Scythe: Encounters",yqR4PtpO8X,5,A resource...,territory
323,"SOLD: 2017

RECEIVED: 2016",yqR4PtpO8X,3,SOLD: 2017...,territory
324,"After one play: I really really don't understand what people see in this game.

After giving this game a second chance:  When looking at what the rating system says here, I had no choice but to drop my rating of this game down to a 2.  Because for 2 it says ""Extremely annoying game, won't play this ever again.""  The nicest thing I can say about this game is that the metal coins are really cool.  The artwork, close up, is good, but the overall presentation looks like a giant Technicolor yawn.  I suppose if I got sucked into the hype and spent a fortune on this turd I'd probably be trying to convince myself and others that this game is awesome, too.  But I didn't, so I am telling you that this game definitely is not for me as it annoys me and I won't play it anymore.",yqR4PtpO8X,1,After one ...,territory
325,"way overrated, good looking but boring on board",yqR4PtpO8X,0,way overra...,territory
330,"Best: 4
Time: 90-115 Min
Weight: 3.38",yqR4PtpO8X,4,"Best: 4
Ti...",territory
331,#9,yqR4PtpO8X,5,#9,territory
333,"I love love love this game. It feels so smooth and satisfying. I love upgrading, I love the ""cold war feeling"" it engenders. I love the engine building. I can't be reasonable about this game. I just love it.",yqR4PtpO8X,5,My current favorite.,territory
337,"With Premium Coins

",yqR4PtpO8X,4,With Premi...,territory
350,"Only played once so far, but it was very exciting and had a fun blend of mechanics.",yqR4PtpO8X,4,Only playe...,territory
358,"I really can't say anything more than this is definitely in my top 3 all time games. Pandemic Legacy, Cosmic Encounter, and now Scythe to round it out",yqR4PtpO8X,4,I really c...,territory
362,I really need to play this more to be able to eloquate my thoughts.,yqR4PtpO8X,4,I really n...,territory
383,"I haven't gotten to play with more than 2, but solo and 2 player is fantastic and it's supposed to be even better with 4/5",yqR4PtpO8X,4,I haven't ...,territory
389,"k/s backer for collectors box.
Pledged £70.93

Notes i keep forgetting!
-A structure can be built- on the factory
-Anyone can carry resources, only mechs can carry workers
-When taking the bottom row action, if you have already enlisted , the player to your left and right and you get a benefit

4 games in, rating a 7.5 for now.
5th game in have changed rating to an 8. This was another four player game and loved it!",yqR4PtpO8X,4,k/s backer...,territory
393,_,yqR4PtpO8X,4,_,territory
399,"Kickstarter Limited Edition! Promos and realistic resources, larger board. I also have Invaders from Afar, the Wind Gambit, and Rise of Fenris.",yqR4PtpO8X,4,Kickstarte...,territory
405,"Very nice art.  Innovative rolling action system where turns are brief and sort of bleed together as one player finishes their bottom action while the turn passes.  Conflict is simple and tangential, the real game is the euro engine building and action selection.  Stegmaier does strong work.
Wife won our first game.  She also really liked it.  So I won too :)

Rise of Fenris is fantastic.",yqR4PtpO8X,4,Very nice ...,territory
406,"Absolutely love this game, even though I'm really bad at it. The theme paired with the gameplay is fantastic, and the fact that it plays so smoothly and is simple to teach are all super welcome",yqR4PtpO8X,4,Absolutely...,territory
410,"Definitely not for everybody (as it can be a bit harder to learn), but it's a fun, beautiful, and extremely well-designed game.",yqR4PtpO8X,4,"Very fun, Very complicated",territory
413,Awesome. Has lots of replayability,yqR4PtpO8X,4,Awesome. H...,territory
418,There is so much to this game. It's compelling to both play and to look at. So many ways to play and subtle changes based on your faction and player board that even a veteran player has to stay on their toes.,yqR4PtpO8X,4,There is s...,territory
419,Fun game and captivating world. Only a nine because of how long it takes to play,yqR4PtpO8X,4,Fun game a...,territory
420,So clever and beautiful. ,yqR4PtpO8X,4,So clever ...,territory
422,"Far more of a euro economy game than I thought it would be, which isn't really my thing. Though it is the best euro I've played. Biggest complaint is the lack of interaction between players. I rarely even have an interest in what the other player is doing. Same problem as Suburbia.",yqR4PtpO8X,3,Far more o...,territory
429,"W/ Exp: Invaders from Afar, The Wind Gambit
Add-On: Metal Coins, Realistic Resources, Meeplesource Action Tokens, Promo Cards

This is our favorite game to break out! It's such a well thought out game and it's one we love to get into whenever we have the chance. With the Wind Gambit just out, it's another good excuse to break this out and we'll look into Fenris when it's out later this year.",yqR4PtpO8X,5,W/ Exp: In...,territory
430,"1-5, 120m",yqR4PtpO8X,4,"1-5, 120m",territory
434,"Another game I really don't like, but this is one of the first that had me not liking it from turn 1. I kinda stuck through it for the whole game but I regret that, the worst part is I felt like I was losing from the point I realized the faction placement and mine was against what I planned to do. I guess it's like blood rage that completely polarizes me even though it's not a horrible game.",yqR4PtpO8X,0,Another ga...,territory
446,"lived up to my expectations. Easy to teach, can be quick, just an amazing all around game from one of the best publishers out there.

Edit 1/16/18: Bumped from 9.4 to 9.7 I was initially skeptical of all the hype surrounding this game, but it has honestly exceeded the hype for me after 22 plays. Attacking with the mechs may be more sparse than initially expected, but the tension created by the threat of attack is just as effective for area control and board manipulation. Wind gambit adds significantly to this tension. Love love love this game.",yqR4PtpO8X,4,lived up t...,territory
448,A favortie in our group. Great mix of Euro and conflicting area control mechanisms. Love the threat of combat and the consequences of battles. ,yqR4PtpO8X,4,A favortie...,territory
449,"My currently favorite game. Gorgeous, streamlined, great replay value. It has everything a gamer is looking for in a game. The best gift I have received!",yqR4PtpO8X,5,My current...,territory
450,"(+) Great balance between engine building and conflict, multiple paths to victory, feels epic but plays quick, production quality is fantastic, rules are clear and organized well, randomized player boards and cards for variability, good balance of strategy and tactical choices, cool end condition of placing stars

(-) Randomly dealt player mats can result in some factions being overpowered IMO (ex. Rusviet with Industrial board), new players can get overwhelmed with all the different things to keep track of

(+/-) The game is fun at all player counts but it feels really different from a spacial standpoint. Some people will not like the act of combat being primarily about bluffing/mind games. There is a lot to keep track of, but action choices are simplified and it provides a lot of paths to victory.",yqR4PtpO8X,5,One of the greatest games ever made,territory
454,You dont have time for everythig you want to do?.,yqR4PtpO8X,3,You dont h...,territory
464,"""Baby steps the board game"" with the occasional satisfying turn. Very pretty game.",yqR4PtpO8X,3,"""Baby step...",territory
465,"Scythe is a very rare combination of strong, unique theme with strong, unique mechanisms. Every game is an engaging, unique puzzle.

It can best be summed up as an incredibly satisfying experience- the excellent components, world building, game pace and brain-burning decisions have never left me feeling disappointed with a game.",yqR4PtpO8X,5,No Review Title,territory
467,"From a design perspective there is not much to critisize. The different clans seem balanced, and provide each player with a unique strategy, and the same can be said for the action boards.  However, from a gameplay perspective some of aspects fall a bit short. For instance, the early game is incredibly limiting, and players fall into scripted openings. And though I enjoy the star-based end game trigger, it appears that a few are more or less mandatory. Completing secret objectives, and winning a battle, are much easier to accomplish than maxing out the power or popularity tracks. All together, the decision space appears to be bigger than it really is. The biggest win here, surprisingly to me, is the world building. The premise and setting alone will likely lure me into several more plays.",yqR4PtpO8X,3,From a des...,territory
472,"Theme/Art:
Scythe is the most beautiful game I own. Jakub Rozalski is an amazing artist and the art is 11/10, if not more.  Same goes for the theme as the game sets place in an alternative history in the 1920s where countries build giant battle mechs.

Production quality:
Amazing production quality, the board has 2 sides with one having a bigger map so you have more space for resources (you need to purchase a board extension to use it), the miniatures are very good, and every faction has different worker meeples, which is a nice touch. Nothing feels cheap in Scythe.

Replayability:
There are 5 factions with different abilities and different starting resources and also 5 player mats with different top and bottom rows, as well as different action costs. So you have to take a different approach each game, even if you play the same faction twice.

Depth/Difficulty:
The game takes a bit to explain, but it is actually not that hard and once you get the hang of it it has a nice flow. Since everybody only takes one top row action and maybe a bottom one on his turn, you don't have to wait long until you are up again.
The game has very interesting mechanics, especially how the game ends. Once someone placed all their 6 stars it's over. So if you are ahead and only have one star to place you can end the game immediately, but if you are behind in money you can drag the game out by not placing your last star (unless someone else places all their stars of course).
The fact that you don't get resources you produced into your supply, but they are placed on the hex they are produced on, is also very interesting, because you can steal resources from others if they don't watch out.
I also like that the encounter cards have no text on them (aside from your options), but only a picture of the scene, so you have to interpret it in your own way.
I weight it 3/5.

Strategy:
Scythe is a strategy game, so of course their is a lot of strategy involved. Your strategy should depend on your faction, player mat, and starting position. There are 10 ways to plays stars, but you only need to place 6 to end the game, so focus on 6 of those ways. E.g. if you draw shitty objectives, ignore them.
Oh, and get your popularity up to at least 13, you need it for the scoring!

Luck:
Aside from your starting setup (faction and player mat) and the cards you draw (encounters, objectives, factory cards) there is no luck involved. Even combat is not luck, but using power and power cards (and knowing how much power your enemy will spend.

Scythe takes about 80-150 minutes to play, depending on player count and how familiar players are with the game. Teaching the rules takes about 20 minutes.

In summary I like Scythe very much and it is the best looking game I own at the moment. We will see if its rating stays that high after a few more plays.",yqR4PtpO8X,3,Theme/Art:...,territory
478,Dagfinn has this. Need more plays for higher rating.,yqR4PtpO8X,3,Dagfinn ha...,territory
484,y,yqR4PtpO8X,5,y...,territory
488,In Germany,yqR4PtpO8X,4,In Germany...,territory
493,"One of my most favorite games. No luck involved at all. You get to do whatever you want, focus on any objectives... Need to focus on how to achieve different objectives at the same turns.",yqR4PtpO8X,5,One of my ...,territory
5748,"Trade offers must take into consideration, A spiders web; be not afraid; cursed!; Grand dames; leaders; and Tales and legends expansions.",8UmzC1ZGGE,4,Trade offe...,territory
5754,"Love the variable powers and how they change game to game. Light area control, with special rules and exceptions driven by your race combination. You also have the chance to change your race as their power wanes or a better combo is affordable.Hit with the boys.",8UmzC1ZGGE,4,Love the v...,territory
5755,"Love the variable powers and how they change game to game. Light area control, with special rules and exceptions driven by your race combination. You also have the chance to change your race as their power wanes or a better combo is affordable.Hit with the boys.",8UmzC1ZGGE,4,Love the v...,territory
5768,"2-6 players, 60 minutes, light medium, area control/war gameHave played with 2, 3 and 4 players and all work quite well. The game has different boards for the various number of players, so it will always be a world too small for everyone, which ensures there's plenty of action  The game looks great and the numerous combinations of races and special powers (which are different every game) ensure that replayability is high.",8UmzC1ZGGE,4,2-6 player...,territory
5775,i realy wanted to like this game.. but i hate the downtime between turns.. it realy spoils it for me.  some games have a bearable downtime as they are quite heavy and that's part of the deal.. but this is too light for the down time it has.,8UmzC1ZGGE,3,i realy wa...,territory
5782,"[SOLD June 2017]I like the simplified combat mechanics.  Every game is different due to the huge number of race/power combinations.  Sure it's chaotic, but that's part of the fun.  I especially like that players are never eliminated; very high revenge factor in this one generates spicy table talk.",8UmzC1ZGGE,3,[SOLD June...,territory
